,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
377,0.168,0.935,2,-7.29,1,0.133,7.57e-06,0.0561,0.11,0.311,77.079,4
378,0.558,0.997,7,-1.167,1,0.0968,4.91e-06,0.965,0.348,0.125,97.514,4
379,0.754,0.771,9,-7.452,0,0.291,0.336,0.00028,0.1,0.811,88.105,4
380,0.439,0.989,7,-2.417,1,0.0702,5.39e-05,0.516,0.236,0.335,91.906,4
382,0.466,0.928,9,-3.688,1,0.203,0.017,4.19e-05,0.189,0.747,174.083,4
383,0.745,0.626,11,-11.875,0,0.0634,0.00256,0.863,0.703,0.152,130.019,4
384,0.847,0.828,6,-12.497,1,0.0795,0.137,1.53e-06,0.101,0.451,125.764,4
387,0.222,0.971,7,-5.424,1,0.307,0.00149,0.00418,0.0784,0.0392,155.966,4
388,0.631,0.745,1,-10.356,1,0.0642,0.000365,0.861,0.115,0.325,173.997,4
389,0.754,0.622,11,-5.75,0,0.226,0.462,0.0,0.0784,0.72,86.969,4
390,0.59,0.833,11,-4.531,0,0.098,0.00105,0.000543,0.101,0.708,138.478,4
393,0.562,0.903,0,-5.827,1,0.0448,0.00345,0.0185,0.107,0.35,147.784,4
399,0.522,0.984,1,-5.6,1,0.0546,0.000175,0.598,0.098,0.413,134.999,4
400,0.52,0.926,11,-2.799,1,0.16,0.000212,4.25e-06,0.207,0.405,100.097,4
401,0.256,0.996,4,-1.35,0,0.125,0.00252,0.0,0.0785,0.249,185.221,4
402,0.576,0.967,2,-3.733,1,0.093,0.0122,0.0,0.26,0.517,146.04,4
403,0.221,0.88,7,-4.019,1,0.0596,2.73e-06,0.93,0.179,0.598,89.095,4
404,0.539,0.938,11,-10.069,0,0.0481,0.00282,0.00355,0.379,0.286,129.622,4
405,0.258,0.641,8,-8.153,1,0.034,0.37,0.856,0.174,0.0368,142.372,3
406,0.254,0.997,2,-4.58,1,0.157,4.92e-06,0.00858,0.365,0.158,115.676,4
407,0.102,0.676,9,-14.891,0,0.0663,0.0261,0.000939,0.229,0.137,74.801,4
408,0.349,0.969,9,-5.754,1,0.112,3.77e-05,0.168,0.171,0.376,163.173,4
409,0.549,0.884,7,-4.724,1,0.0848,0.000631,0.0396,0.114,0.693,91.508,4
411,0.645,0.975,6,-6.068,1,0.191,3.27e-05,0.079,0.107,0.151,119.971,4
412,0.535,0.731,9,-7.567,1,0.048,6.69e-05,0.847,0.117,0.224,139.995,4
414,0.128,0.904,1,-12.059,1,0.0385,0.0163,0.286,0.128,0.487,175.653,4
415,0.326,0.883,1,-10.313,1,0.228,2.47e-06,0.665,0.172,0.223,122.574,3
416,0.529,0.518,1,-11.037,0,0.142,0.575,0.0,0.894,0.65,151.701,4
417,0.562,0.966,1,-3.93,1,0.0672,0.00316,0.626,0.0793,0.395,106.012,4
419,0.836,0.56,8,-9.039,1,0.2,0.00232,0.00228,0.0647,0.273,98.153,4
420,0.453,0.988,7,-3.604,1,0.0868,1.47e-06,0.751,0.0772,0.286,120.997,4
421,0.735,0.867,7,-7.24,1,0.0834,5.56e-05,0.611,0.134,0.452,121.738,4
